channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-164086.2344,-80861.72656,-113554.75,-155523.1719,-187500.0156,-148179.6875,-157248.3438,-187500.0156
-164084.0156,-80858.14844,-113558.4375,-155448.6094,-187500.0156,-148175.6563,-157169.5781,-187500.0156
-164085.875,-80856.1875,-113547.5781,-155545.6094,-187500.0156,-148178.9688,-157258.8125,-187500.0156
-164089.7188,-80858.86719,-113540.1328,-155636.9219,-187500.0156,-148185.6719,-157364.2656,-187500.0156
-164091.9531,-80862.0625,-113549.2734,-155554.0781,-187500.0156,-148180.9844,-157299.3438,-187500.0156
-164088.9219,-80859.02344,-113555.4688,-155447.0469,-187500.0156,-148172.1563,-157146.3906,-187500.0156
-164087.1719,-80854.90625,-113543.7109,-155513.7656,-187500.0156,-148170.8594,-157201.1406,-187500.0156
-164087.8906,-80855.22656,-113533.5156,-155629.3594,-187500.0156,-148176.5938,-157340.4531,-187500.0156
-164085.7656,-80856.78906,-113541.3672,-155576.1719,-187500.0156,-148178.0938,-157312.1094,-187500.0156
-164081.0781,-80853.83594,-113547.625,-155465.0156,-187500.0156,-148171.2969,-157192.0625,-187500.0156
-164077.7188,-80852.11719,-113539.9766,-155499.3906,-187500.0156,-148168.3281,-157194.7031,-187500.0156
-164080.1094,-80855.91406,-113533.9844,-155619.8594,-187500.0156,-148174.1563,-157314.6875,-187500.0156
-164082.5,-80859.04688,-113541.2734,-155596.2969,-187500.0156,-148177.4688,-157299.4844,-187500.0156
-164078.7031,-80856.47656,-113550.125,-155476.1875,-187500.0156,-148174.8125,-157193.625,-187500.0156
-164075.3281,-80850.77344,-113541.0469,-155491.2813,-187500.0156,-148168.7969,-157209.8594,-187500.0156
-164077.0313,-80853.21094,-113528.5078,-155623.1875,-187500.0156,-148168.6875,-157343.1406,-187500.0156
-164078.75,-80858.46094,-113535.1016,-155626.4531,-187500.0156,-148174.0313,-157354.8281,-187500.0156
-164076.8281,-80857.47656,-113549.3438,-155491.625,-187500.0156,-148174.3125,-157221.75,-187500.0156
-164077.9219,-80854.28125,-113546.6172,-155467.2656,-187500.0156,-148168.625,-157197.3125,-187500.0156
-164083,-80857.23438,-113535.8438,-155589.7344,-187500.0156,-148170.4531,-157294.9063,-187500.0156
-164086.1406,-80862.17188,-113538.1016,-155622.3281,-187500.0156,-148176.3594,-157319.3125,-187500.0156
-164083.7969,-80861.61719,-113549.6094,-155498.875,-187500.0156,-148173.0625,-157216.4063,-187500.0156
-164079.2188,-80855.85156,-113549.0078,-155442.9063,-187500.0156,-148165.7813,-157158.9219,-187500.0156
-164080.0156,-80854.35156,-113536.6016,-155558.4375,-187500.0156,-148164.0625,-157269.9063,-187500.0156
-164084.7344,-80860.60938,-113536.7813,-155631.2656,-187500.0156,-148170.7656,-157356.6094,-187500.0156
-164085.0938,-80863.80469,-113549.5469,-155522.4063,-187500.0156,-148171.6406,-157244.25,-187500.0156
-164083,-80858.71094,-113553.1875,-155441.3906,-187500.0156,-148169.4219,-157141.5,-187500.0156
-164084.7813,-80856.69531,-113540.5391,-155539.2344,-187500.0156,-148168.4219,-157229.6563,-187500.0156
-164088.8281,-80862.14844,-113535.2578,-155638.2969,-187500.0156,-148173.6406,-157347.9063,-187500.0156
-164090.6094,-80866.3125,-113547.1328,-155557.6875,-187500.0156,-148174.4531,-157279.7969,-187500.0156
-164088.6875,-80868.85938,-113555.2188,-155454.4844,-187500.0156,-148173.1563,-157173.8438,-187500.0156
-164087.2031,-80867.82813,-113546.9922,-155521.9688,-187500.0156,-148175.7656,-157238.6875,-187500.0156
-164089.0938,-80869.10156,-113540.1563,-155639.5938,-187500.0156,-148180.4688,-157366.5781,-187500.0156
-164089.1875,-80871.25,-113551.2891,-155583.3594,-187500.0156,-148184.9844,-157300.7656,-187500.0156
-164084.9219,-80866.96094,-113559.6016,-155459.375,-187500.0156,-148182.6094,-157187.9531,-187500.0156
-164082.6563,-80864.07031,-113552.3828,-155492.8594,-187500.0156,-148180.8906,-157213.25,-187500.0156
-164084.2031,-80866.78125,-113543.4219,-155617.3594,-187500.0156,-148185.7344,-157318.4375,-187500.0156
-164085.7813,-80871.94531,-113549.3203,-155594.5313,-187500.0156,-148190.5469,-157301.7031,-187500.0156
-164079.4844,-80868.07813,-113554.4609,-155466.5313,-187500.0156,-148185.5156,-157198.6719,-187500.0156
-164073.1406,-80862.55469,-113547.9375,-155473.0781,-187500.0156,-148178.0313,-157203.1094,-187500.0156
-164072.4375,-80863.96094,-113536.625,-155601.7188,-187500.0156,-148178.5625,-157314.8438,-187500.0156
