channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-97055.5625,-86509.1171875,-71644.3125,-113124.0078125,-29017.66015625,-94529.8671875,-61937.53515625,-102877.96875
-96958.5625,-86528.03125,-71773.6875,-113015.609375,-28994.1015625,-94452.03125,-62024.16796875,-102869.1640625
-96823.375,-86519.1796875,-72004.8515625,-112881.2265625,-28971.615234375,-94276.7109375,-62185.32421875,-102773.5
-96903.53125,-86497.8515625,-71909.2734375,-112968.1328125,-28986.994140625,-94332.5859375,-62122.78515625,-102773.5
-97054.4921875,-86502.640625,-71665.3671875,-113117.21875,-29010.59765625,-94514.0390625,-61943.65625,-102865.140625
-96996.375,-86525.03125,-71733.2734375,-113048.734375,-28992.626953125,-94475.859375,-61983.890625,-102867.8671875
-96840.9453125,-86519.625,-71987.640625,-112887.3515625,-28960.529296875,-94281.2265625,-62167.21875,-102771.484375
-96881.890625,-86495.84375,-71952.4140625,-112932.7265625,-28975.908203125,-94294.5859375,-62147.328125,-102774.078125
-97042.15625,-86496.734375,-71702.515625,-113098.265625,-29001.43359375,-94483.4609375,-61970.66015625,-102842.5703125
-97023.828125,-86522.7109375,-71703.7734375,-113067.0625,-28992.26953125,-94497.3203125,-61960.01953125,-102870.234375
-96855.3359375,-86523.46875,-71958.265625,-112895.7109375,-28964.552734375,-94306.65625,-62135.61328125,-102798.890625
-96855.875,-86498.2109375,-71984.109375,-112903.53125,-28973.8515625,-94273.3515625,-62147.015625,-102774.9296875
-97018.0625,-86493.921875,-71742.21875,-113068.9375,-29002.193359375,-94452.75,-61992.875,-102840.5546875
-97046.625,-86519.671875,-71675.4765625,-113087.1796875,-29000.2265625,-94521.0546875,-61946.7421875,-102870.015625
-96881.1328125,-86527.4453125,-71916.46875,-112915.734375,-28971.97265625,-94343.3125,-62123.140625,-102794.2890625
-96837.1484375,-86504.46875,-72004.0859375,-112882.65625,-28973.1796875,-94259.2734375,-62180.18359375,-102743.546875
-96984.7109375,-86494.7265625,-71786.875,-113037.1953125,-29000.94140625,-94414.0390625,-62010.265625,-102803.71875
-97056.234375,-86512.2890625,-71655.9375,-113100.1875,-29007.826171875,-94529.8671875,-61930.515625,-102870.640625
-96911.9765625,-86522.9296875,-71868.859375,-112948.8203125,-28984.71484375,-94387.5703125,-62098.95703125,-102824.1484375
-96830.3046875,-86502.6796875,-72016.15625,-112871.171875,-28974.34375,-94260.9296875,-62186.7109375,-102747.2109375
-96956.3203125,-86487.171875,-71830.1015625,-113003.4453125,-29000.494140625,-94383.328125,-62046.296875,-102792.2734375
-97062.5390625,-86503.125,-71645.5703125,-113111.1796875,-29014.396484375,-94534.0625,-61925.375,-102864.46875
-96941.9296875,-86520.1640625,-71814.90625,-112985.921875,-28986.591796875,-94421.90625,-62037.4921875,-102829.109375
-96825.390625,-86505.453125,-72013.5234375,-112873.5859375,-28966.02734375,-94262.7578125,-62188.85546875,-102746.2734375
-96926.375,-86489.8046875,-71878.0234375,-112984.1328125,-28989.228515625,-94352.2578125,-62099.1796875,-102779.671875
-97061.734375,-86502.3203125,-71656.1171875,-113122.4921875,-29011.625,-94528.8828125,-61939.23046875,-102861.921875
-96971.609375,-86522.53125,-71769.2578125,-113028.2109375,-28993.7890625,-94464.4609375,-62027.8359375,-102846.9921875
-96827.3515625,-86513.0546875,-72004.3984375,-112891.015625,-28970.3203125,-94284.171875,-62205.9765625,-102759.90625
-96897.9453125,-86491.90625,-71922.1484375,-112970.8125,-28985.294921875,-94328.7890625,-62137.984375,-102765.453125
-97052.3046875,-86498.34375,-71676.4140625,-113119.8125,-29014.396484375,-94518.6875,-61948.08203125,-102857.453125
-97002.5,-86521.59375,-71727.28125,-113057.984375,-29004.78515625,-94502.234375,-61986.75,-102876.0078125
-96839.6953125,-86515.6015625,-71980.796875,-112892.359375,-28974.521484375,-94310.328125,-62175.35546875,-102787.71875
-96869.9609375,-86491.5078125,-71959.921875,-112931.3359375,-28981.763671875,-94308.359375,-62163.8671875,-102758.125
-97032.453125,-86494.8125,-71713.6953125,-113093.8828125,-29010.775390625,-94492.3125,-61970.8359375,-102838.453125
-97026.8671875,-86521.5,-71697.46875,-113078.7265625,-29002.4609375,-94524.140625,-61954.4765625,-102873.546875
-96860.2109375,-86525.65625,-71951.3828125,-112908.71875,-28972.509765625,-94338.0390625,-62140.890625,-102794.9609375
-96849.53125,-86503.265625,-71994.34375,-112905.28125,-28976.80078125,-94286.9921875,-62168.96484375,-102750.1640625
-97000.1328125,-86491.8203125,-71751.734375,-113068.84375,-29003.578125,-94459.234375,-62004.36328125,-102832.1953125
