channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-161078.1094,-81093.07031,-108749.1484,-154375.2969,-187500.0156,-148205.5625,-158316.0469,-187500.0156
-161059.7344,-81079.52344,-108757.4219,-154146.2813,-187500.0156,-148178.7813,-158164.3438,-187500.0156
-161053.0625,-81065.86719,-108753.0859,-154004.5938,-187500.0156,-148156.6406,-158048.9844,-187500.0156
-161068.8594,-81076.54688,-108743.0469,-154209.875,-187500.0156,-148180.375,-158175.6719,-187500.0156
-161079.3438,-81093.38281,-108745.7969,-154380.6406,-187500.0156,-148202.4531,-158303.9688,-187500.0156
-161064.7969,-81086.17969,-108756.6797,-154194.1719,-187500.0156,-148181.8281,-158186.4531,-187500.0156
-161053.2344,-81071.94531,-108756.9297,-154001.5313,-187500.0156,-148158.0625,-158040.375,-187500.0156
-161065.2344,-81080.54688,-108745.2188,-154160.9219,-187500.0156,-148177.0469,-158139.4688,-187500.0156
-161078.0469,-81097.625,-108743.4531,-154374.0156,-187500.0156,-148204.2969,-158300.7969,-187500.0156
-161065.2031,-81089.96094,-108754.1094,-154242.5938,-187500.0156,-148188.9219,-158229.1406,-187500.0156
-161050.9063,-81070.57813,-108758.7578,-154011.4375,-187500.0156,-148160.0313,-158055.0156,-187500.0156
-161061.4219,-81070.98438,-108749.6406,-154111.0469,-187500.0156,-148173.9531,-158119.4531,-187500.0156
-161081.2188,-81089.69531,-108744.2734,-154364.25,-187500.0156,-148205.0313,-158308.7188,-187500.0156
-161079.0156,-81090.71875,-108750.2188,-154293.25,-187500.0156,-148195.2344,-158276.5313,-187500.0156
-161065.5938,-81072.99219,-108756.8359,-154035.75,-187500.0156,-148164.4375,-158073.4219,-187500.0156
-161071.9688,-81070.53906,-108753.2188,-154068.5,-187500.0156,-148169.3594,-158080.2813,-187500.0156
-161086.4219,-81085.85156,-108747.4297,-154329.6719,-187500.0156,-148203.9375,-158272.4844,-187500.0156
-161082.4531,-81090.71875,-108755.25,-154324.9531,-187500.0156,-148204.625,-158278.2031,-187500.0156
-161065.75,-81073.19531,-108763.4531,-154063.1719,-187500.0156,-148172.2188,-158073.9531,-187500.0156
-161065.4219,-81064.78906,-108757.9297,-154027.25,-187500.0156,-148165.0625,-158040.2188,-187500.0156
-161082.1406,-81080.39063,-108747.7422,-154284.2344,-187500.0156,-148193.7656,-158235.125,-187500.0156
-161085.7813,-81091.21094,-108751.3359,-154355.7188,-187500.0156,-148203.5938,-158298.9063,-187500.0156
-161071.2344,-81076.125,-108760.9531,-154109.1094,-187500.0156,-148175.0313,-158107.5156,-187500.0156
-161069.3125,-81064.125,-108756.1875,-154001.75,-187500.0156,-148164.3438,-158030.9531,-187500.0156
